개수,평점,리뷰수,향/냄새 만족도(%),지속력 만족도(%),총 용량,타겟_공용,타겟_남성,100ml당 가격
1,4.92,1877,80,65,75,1.0,0.0,237333
1,4.69,35165,55,57,30,0.0,0.0,33333
1,4.94,687,82,68,75,1.0,0.0,241333
1,4.63,30,74,57,100,0.0,1.0,122800
1,4.8,2102,69,56,50,0.0,1.0,67980
1,4.76,17153,61,56,100,1.0,0.0,33800
1,4.73,12863,59,57,75,0.0,1.0,50533
1,4.79,7238,68,52,10,1.0,0.0,109000
1,4.8,2698,67,54,200,1.0,0.0,24900
1,5.0,10,90,70,50,0.0,0.0,412000
1,4.77,25836,57,54,5,0.0,0.0,78000
1,4.86,49,78,64,10,1.0,0.0,390000
1,4.78,3376,62,57,100,0.0,1.0,45900
1,4.88,241,74,52,60,1.0,0.0,63333
1,4.75,2521,64,55,50,0.0,0.0,169800
1,4.66,47385,53,57,30,0.0,0.0,116666
2,4.75,8890,62,50,60,0.0,0.0,49833
1,4.7,10645,61,57,100,0.0,0.0,49800
1,4.79,3146,66,53,100,0.0,0.0,42900
1,4.82,1492,65,52,30,0.0,0.0,92333
1,4.83,358,69,57,100,0.0,1.0,129800
1,4.9,949,77,50,14,1.0,0.0,327142
1,4.88,461,78,69,90,0.0,0.0,208777
1,4.65,17,65,53,100,0.0,0.0,159800
1,4.84,154,73,53,30,0.0,0.0,286333
1,4.76,10071,64,53,30,1.0,0.0,79333
1,4.72,2912,64,57,100,0.0,0.0,52900
1,4.77,91,66,54,30,0.0,0.0,229666
1,4.77,99,74,59,100,0.0,1.0,69800
1,4.78,3077,68,57,25,0.0,0.0,175600
1,4.83,2043,66,57,100,0.0,1.0,56000
1,4.73,19916,62,54,100,0.0,0.0,47500
1,4.85,310,79,64,75,1.0,0.0,236666
1,4.9,2886,70,50,2,0.0,0.0,1000000
1,4.87,832,77,49,100,0.0,0.0,86500
1,4.91,296,77,45,50,1.0,0.0,238000
1,5.0,13,93,77,100,0.0,1.0,149000
1,4.79,3775,71,49,125,0.0,1.0,47200
1,4.93,67,80,63,50,0.0,0.0,550000
1,4.55,11,82,55,100,0.0,1.0,121900
1,4.94,196,78,41,75,1.0,0.0,212000
1,5.0,9,78,78,30,0.0,0.0,365666
1,4.85,355,67,56,100,0.0,0.0,58400
1,4.74,6912,61,57,125,0.0,1.0,41200
1,4.86,1414,73,50,125,1.0,0.0,91920
1,4.77,6441,62,51,100,0.0,1.0,48300
1,4.76,1766,68,56,75,0.0,1.0,50533
1,4.88,7140,79,51,50,0.0,0.0,116000
1,4.77,3058,64,57,100,0.0,1.0,48900
1,4.64,45,54,52,50,0.0,1.0,78200
1,4.9,282,78,66,90,0.0,0.0,210000
1,4.77,3031,64,53,100,0.0,1.0,49800
1,4.85,233,77,58,30,0.0,0.0,280000
1,4.87,371,81,67,100,0.0,1.0,200800
1,4.87,95,78,65,100,1.0,0.0,126500
1,5.0,2,100,100,50,0.0,0.0,71800
1,4.83,42,86,79,50,0.0,0.0,299600
1,4.79,6153,64,50,30,0.0,0.0,39666
1,4.73,844,65,50,100,1.0,0.0,27400
1,4.84,2037,63,53,100,1.0,0.0,196900
1,4.87,15,60,67,50,1.0,0.0,500000
1,4.85,156,69,58,60,0.0,1.0,190000
1,4.67,48,57,53,50,0.0,0.0,173800
1,4.74,1978,67,54,75,0.0,0.0,49866
1,4.79,363,67,50,100,0.0,0.0,54000
1,4.79,5859,60,53,100,0.0,1.0,48800
1,4.8,172,62,54,1,0.0,0.0,350000
1,4.75,641,59,52,30,0.0,0.0,33333
1,4.69,335,63,53,105,0.0,1.0,57142
1,4.76,716,62,52,2,0.0,0.0,175000
1,4.83,818,75,68,40,0.0,0.0,32250
1,4.92,25,80,76,70,0.0,0.0,757285
1,4.89,175,79,51,100,1.0,0.0,138700
1,4.81,3813,62,50,75,0.0,1.0,50533
1,4.73,736,64,52,30,0.0,0.0,113333
1,4.83,519,75,55,100,0.0,0.0,52400
1,4.96,27,89,82,75,1.0,0.0,211293
1,4.75,948,65,49,100,0.0,0.0,36100
1,4.63,4068,60,53,30,0.0,0.0,133000
1,4.8,847,65,55,2,1.0,0.0,50000
1,4.88,466,78,46,100,0.0,0.0,199500
1,4.68,44,62,55,100,0.0,0.0,43500
1,4.79,258,66,52,40,0.0,0.0,78750
1,4.82,1906,69,48,125,0.0,1.0,31840
1,4.5,4,50,75,100,0.0,1.0,67800
1,4.81,185,67,60,100,0.0,1.0,67800
1,4.8,2109,67,52,100,0.0,1.0,43700
1,4.84,62,78,60,50,0.0,0.0,110000
1,4.66,122,60,54,75,0.0,0.0,39733
1,4.77,3907,62,52,30,1.0,0.0,92333
1,4.63,152,75,58,30,0.0,0.0,193333
1,4.79,2422,69,64,100,0.0,1.0,114800
1,4.91,11,91,91,50,0.0,0.0,382000
1,4.76,63,67,48,100,0.0,0.0,49900
1,4.86,702,70,64,30,0.0,0.0,363333
1,4.8,601,68,47,100,0.0,0.0,139990
1,4.95,164,75,61,100,0.0,0.0,55400
1,4.75,194,69,49,100,0.0,0.0,89900
1,4.81,2481,68,51,90,0.0,0.0,76555
1,4.83,241,72,50,30,0.0,0.0,66333
1,4.6,5,60,60,50,0.0,1.0,86000
1,4.81,1855,70,55,100,0.0,1.0,148900
1,4.93,29,80,59,11,1.0,0.0,709090
1,4.85,1377,79,47,50,0.0,0.0,116000
1,4.89,37,73,49,50,1.0,0.0,195800
1,4.9,31,78,68,50,0.0,1.0,271600
1,4.94,18,84,56,30,1.0,0.0,863333
1,4.71,1704,63,57,40,0.0,0.0,84500
1,4.91,46,79,74,1,1.0,0.0,840000
1,4.89,44,82,64,35,0.0,0.0,382571
1,4.83,120,81,55,50,0.0,0.0,175800
1,4.91,184,75,50,50,1.0,0.0,248000
1,4.95,21,77,58,50,1.0,0.0,302500
1,4.88,60,85,47,100,1.0,0.0,349000
1,4.78,36,70,64,50,1.0,0.0,195800
3,4.86,3608,70,50,90,0.0,0.0,33000
1,4.56,36,70,50,50,1.0,0.0,135600
1,4.61,364,70,55,100,0.0,0.0,114900
1,4.94,48,90,69,30,1.0,0.0,230000
1,4.81,398,70,52,125,0.0,1.0,41200
1,4.63,230,61,57,30,0.0,0.0,50000
1,4.74,53,61,59,5,0.0,0.0,260000
1,4.75,288,66,56,100,0.0,0.0,12900
1,4.84,19,85,58,50,0.0,0.0,171800
1,4.84,115,71,59,30,0.0,0.0,116666
1,4.82,134,77,65,75,0.0,0.0,132666
1,4.78,404,71,56,5,0.0,0.0,551000
1,4.75,4,50,75,100,0.0,0.0,169200
1,4.88,496,73,52,75,0.0,1.0,52533
1,4.63,8,63,75,35,0.0,0.0,388285
1,5.0,6,50,50,100,0.0,0.0,170800
1,5.0,60,80,57,30,0.0,0.0,830000
1,4.83,118,69,53,125,0.0,1.0,41200
1,4.75,444,65,51,100,0.0,1.0,43500
1,4.59,462,54,56,30,0.0,0.0,33333
1,4.72,180,63,51,5,0.0,0.0,340000
1,4.85,40,58,63,30,0.0,0.0,116333
1,4.67,15,54,60,10,0.0,0.0,1299000
1,4.76,415,64,55,100,0.0,1.0,77000
1,4.67,6,67,50,50,0.0,0.0,66000
1,4.89,101,82,66,50,0.0,1.0,309800
1,4.78,427,67,56,60,0.0,0.0,65000
1,4.79,4894,64,54,125,0.0,1.0,41200
1,4.82,383,69,49,60,0.0,0.0,66333
1,5.0,1,100,100,30,0.0,1.0,186666
1,4.83,167,70,53,100,0.0,1.0,97400
1,5.0,9,56,67,100,0.0,1.0,122800
1,4.89,312,76,55,60,1.0,0.0,63166
1,4.83,70,80,65,35,0.0,0.0,73714
1,5.0,5,80,40,30,1.0,0.0,533333
1,5.0,7,100,86,75,1.0,0.0,211293
1,4.87,160,79,62,100,0.0,1.0,58500
1,4.95,240,75,50,50,1.0,0.0,103800
1,4.74,6313,60,58,30,0.0,0.0,89666
1,4.91,34,74,65,100,0.0,0.0,156900
1,4.84,528,70,54,100,0.0,0.0,138900
1,4.8,54,58,52,5,0.0,1.0,740000
1,4.88,223,82,45,14,1.0,0.0,327142
1,4.86,320,75,51,50,1.0,0.0,194000
1,4.75,320,70,56,100,0.0,0.0,52500
1,4.91,127,81,63,100,0.0,1.0,116400
1,4.81,1289,68,53,50,0.0,0.0,275500
1,4.61,4422,56,48,50,0.0,1.0,79600
1,4.81,94,70,55,5,0.0,0.0,840000
1,4.83,63,75,53,100,0.0,0.0,152900
1,4.82,378,72,58,10,1.0,0.0,380000
1,4.92,994,87,83,5,0.0,0.0,70000
1,4.78,5149,55,54,3,0.0,0.0,66666
1,4.69,16,75,50,50,0.0,0.0,174420
1,4.77,503,79,66,50,0.0,0.0,116000
1,4.93,300,80,62,100,0.0,1.0,72900
1,4.71,49,54,56,10,1.0,0.0,99000
1,4.66,2406,60,57,50,0.0,1.0,107600
1,4.73,2089,52,52,3,0.0,0.0,86666
1,4.75,8,75,75,50,0.0,1.0,290700
1,4.84,50,68,62,30,0.0,0.0,246333
1,4.79,24,80,55,75,0.0,0.0,213600
1,5.0,3,100,100,125,0.0,1.0,27840
1,4.79,28,65,58,125,0.0,1.0,59120
1,4.69,49,70,56,110,0.0,1.0,51363
1,5.0,1,100,100,100,0.0,0.0,115000
1,4.88,3577,70,53,11,1.0,0.0,381818
1,4.79,19,79,69,100,0.0,0.0,195800
1,4.69,14079,51,58,5,0.0,0.0,70000
1,4.88,208,80,55,100,0.0,0.0,46800
1,5.0,2,100,100,75,1.0,0.0,207733
1,4.74,1917,51,57,5,0.0,0.0,70000
1,4.87,521,73,49,11,1.0,0.0,381818
1,5.0,13,85,77,20,0.0,0.0,324500
1,4.86,111,62,60,60,1.0,0.0,16666
1,4.77,971,69,51,50,1.0,0.0,138000
1,4.77,133,76,50,30,0.0,0.0,46333
1,5.0,7,100,100,50,0.0,0.0,438900
1,4.88,8,63,63,5,0.0,0.0,496000
1,4.89,9,56,56,40,0.0,0.0,101250
1,4.86,7,58,58,10,0.0,0.0,589000
1,4.73,139,68,54,100,0.0,0.0,59000
3,4.85,429,79,65,300,0.0,1.0,23000
1,5.0,8,100,75,10,1.0,0.0,890000
1,4.92,51,81,42,75,1.0,0.0,209333
1,4.87,94,77,49,50,0.0,0.0,343900
1,4.8,20,70,60,7,0.0,0.0,400000
1,4.8,88,68,47,30,0.0,0.0,162666
1,5.0,11,64,64,40,0.0,0.0,99750
1,4.79,14,72,58,100,0.0,0.0,47800
1,5.0,3,100,100,100,0.0,0.0,162200
1,4.76,1178,67,51,30,0.0,0.0,10000
1,4.83,598,75,58,20,0.0,0.0,100000
1,4.89,184,70,53,30,0.0,0.0,280000
1,4.83,226,72,48,125,0.0,1.0,28800
1,4.82,175,72,47,90,0.0,0.0,44888
1,4.83,48,69,59,10,0.0,0.0,550000
1,4.79,34,68,50,50,0.0,0.0,136000
1,4.79,1770,69,61,100,0.0,0.0,56500
1,4.76,139,65,48,30,0.0,0.0,39666
1,4.81,783,74,55,50,0.0,1.0,76000
1,4.9,4609,84,60,10,1.0,0.0,590000
1,4.93,15,60,47,50,0.0,0.0,296020
1,4.91,419,79,52,50,0.0,0.0,116000
1,4.8,493,71,51,100,0.0,1.0,45000
1,5.0,3,67,67,50,0.0,0.0,86000
1,4.88,1135,77,50,60,0.0,0.0,102916
1,4.95,22,100,64,100,0.0,0.0,117600
1,4.63,24,75,46,100,0.0,0.0,195800
1,4.25,8,63,50,50,0.0,1.0,69120
1,4.79,644,68,52,40,0.0,0.0,101250
2,4.66,521,64,57,60,1.0,0.0,74666
1,4.73,703,63,54,100,0.0,0.0,49000
1,4.72,1134,68,54,30,0.0,0.0,66333
2,4.72,443,60,51,60,0.0,0.0,45000
1,4.82,96,69,61,125,1.0,0.0,87920
1,4.81,16,88,50,100,0.0,0.0,134900
1,4.9,63,83,56,100,1.0,0.0,44800
1,4.78,110,74,56,50,1.0,0.0,304200
1,4.74,3277,65,51,100,0.0,0.0,64400
1,4.79,7251,68,52,10,1.0,0.0,109000
1,4.82,496,68,51,30,0.0,0.0,113333
1,4.84,32,82,69,15,0.0,0.0,586666
1,4.81,58,75,50,100,0.0,0.0,144750
1,4.9,20,70,70,60,0.0,0.0,139800
1,4.67,30,67,54,30,0.0,1.0,150666
1,4.74,62,78,60,50,1.0,0.0,59800
1,4.75,93,75,52,10,1.0,0.0,493900
1,4.73,373,61,53,75,0.0,1.0,50533
1,4.9,324,77,48,30,0.0,0.0,405000
1,4.93,1068,76,55,30,1.0,0.0,324000
1,4.77,270,59,58,30,0.0,0.0,99666
1,4.88,144,73,57,50,1.0,0.0,194000
1,5.0,8,63,63,50,0.0,1.0,69000
1,4.81,241,69,45,100,0.0,0.0,33900
1,4.85,784,68,56,30,0.0,1.0,110000
1,4.72,544,63,62,75,0.0,1.0,49200
1,4.86,636,81,50,100,0.0,0.0,280000
1,4.82,116,63,53,100,0.0,1.0,44900
1,4.67,1698,55,53,30,1.0,0.0,33333
1,5.0,3,100,67,30,0.0,0.0,266000
1,4.72,18,78,67,85,0.0,0.0,162235
1,4.89,36,62,70,6,1.0,0.0,725000
1,4.79,828,73,51,15,1.0,0.0,288000
1,5.0,4,100,100,100,1.0,0.0,477000
1,4.73,1917,61,51,50,0.0,1.0,96000
1,5.0,5,100,60,50,0.0,0.0,104000
1,5.0,9,100,89,75,1.0,0.0,211293
1,3.0,1,100,100,100,0.0,0.0,131200
1,4.9,10,60,90,10,0.0,0.0,419000
1,4.74,1916,63,56,100,0.0,1.0,43700
1,4.62,139,58,57,30,0.0,0.0,33333
1,5.0,7,100,100,100,1.0,0.0,148400
1,5.0,8,75,75,90,0.0,0.0,107666
1,4.86,987,78,49,50,1.0,0.0,44000
1,4.61,109,61,65,30,0.0,0.0,88333
1,4.84,149,74,51,100,0.0,0.0,54000
1,4.92,157,82,51,100,0.0,0.0,39900
1,4.69,1673,54,59,2,0.0,0.0,50000
1,4.89,162,88,57,20,0.0,0.0,215000
1,4.71,82,50,54,5,0.0,0.0,150000
1,4.67,12,59,50,5,0.0,0.0,300000
1,5.0,12,92,50,60,0.0,1.0,36700
1,4.83,1869,73,52,30,0.0,0.0,134000
2,4.78,598,70,53,60,1.0,0.0,37833
1,4.88,16,63,57,50,1.0,0.0,236000
1,4.62,257,53,53,30,0.0,0.0,33333
1,4.59,373,56,54,15,0.0,0.0,39333
1,5.0,5,60,60,75,1.0,0.0,252000
1,4.98,60,89,87,50,1.0,0.0,356000
1,5.0,1,100,100,50,0.0,0.0,517080
2,4.73,672,62,55,60,1.0,0.0,24833
1,4.82,1147,68,49,125,0.0,1.0,40400
1,4.92,13,85,62,35,0.0,0.0,757142
1,5.0,17,95,89,50,0.0,1.0,238000
1,4.8,41,71,49,100,0.0,0.0,195800
2,4.86,36,73,53,60,1.0,0.0,40000
1,4.79,7251,68,52,10,1.0,0.0,109000
